pays;code;ville;societe;activite;site;email repere;telephone repere;note commerciale;statut
Sri Lanka;LK;Colombo 14;CPP Glass — Colombo Picture Palace (Pvt) Ltd;Trempe, feuillete, teinte, vitrage isolant depuis 1943;cppglass.com;info@cppglass.com;+94 11 242 1777;MAISON DE 1943, pionnier du verre au Sri Lanka, Prince of Wales Ave. Port Colombo, envoi en anglais.;ENVOYE 2026-09-25
Sri Lanka;LK;Colombo, Negombo, Puttalam, Jaffna;City Glass;Import et distribution de verre plat, profiles aluminium, panneaux composites et quincaillerie;cityglassnet.com;mail@cityglassnet.com;+94 31 222 4820;CIBLE MAJEURE : figure parmi les dix premiers importateurs-distributeurs de verre plat du pays, quatre entrepots. Port Colombo. 343/346 Main Street, Negombo. Envoi en anglais.;ENVOYE 2026-09-25
Sri Lanka;LK;Colombo;Gurind Accor (Browns Group);Fournisseur de verre trempé;gurindaluminium.lk;info@gurindaluminium.lk;;Adossé au groupe Browns : capacité de volume. ADRESSE REBONDIE : passer par Browns Group.;ADRESSE INVALIDE
Sri Lanka;LK;Sri Lanka;S S Glass (S S De Silva);Import et distribution de verre, activite aluminium;ssdesilva.lk;;;Se presente comme importateur-distributeur de reference. Aucune adresse email publiee : a rappeler. Port Colombo.;A APPELER
Suède;SE;Forserum;Forserum Safety Glass AB;Grossiste et transformateur de verre plat, verre de securite;fsglass.se;info@fsglass.se;+46 380 295 00;Sorbyvagen 9. Gros consommateur de float. Port Goteborg, envoi en suedois.;ENVOYE 2026-09-25
Suède;SE;Göteborg;Göteborgs Byggnadsglas AB;Verre de construction;byggnadsglas.se;;+46 31 24 14 59;Karl Johansgatan 25, sur le port de Goteborg. Envoi en suedois DOMAINE byggnadsglas.se INTROUVABLE le 25/09 : appeler le +46 31 24 14 59.;ADRESSE INVALIDE
Suède;SE;Örebro, Stockholm et Göteborg;Glasgruppen;Groupement de grossistes verriers, plus de 100 ans de metier;glasgruppen.se;info@marting.se;;Adresse Orebro. Stockholm et Goteborg joignables sur info@klaesjansson.se, touchee aussi. Port Goteborg, envoi en suedois.;ENVOYE 2026-09-25
Suède;SE;Osby;Osby Glas AB;Grossiste verrier : vitrage isolant, verre de construction, verre colore;osbyglas.se;order@osbyglas.se;+46 479 173 00;Maison de 1934, un des premiers independants suedois du verre plat. Port Goteborg, envoi en suedois.;ENVOYE 2026-09-25
Suisse;CH;Wikon;Flachglas (Schweiz) AG;Solutions verrieres pour l architecture, le batiment et le retail;flachglas.ch;info@flachglas.ch;+41 62 745 00 30;Zentrumstrasse 2. Pays enclave : transit par Bale, Rotterdam ou Genes. Envoi en anglais.;ENVOYE 2026-09-25
Suriname;SR;Paramaribo;Sun's Aluminium Trading;Fourniture de produits aluminium pour la construction et l industrie;;;;Fournisseur aluminium de Paramaribo. Aucune adresse email publiee : a rappeler. Port Paramaribo.;A APPELER
Tanzanie;TZ;Dar es Salaam, Pugu Road;Salehbhai Glass Industries Ltd;Transformation de verre trempé et isolant;salehbhaiglass.co.tz;sales@salehbhaiglass.co.tz;+255 763 501771;Fabrication automatisée de double et triple vitrage, cibler float et Low-E. Port Dar es Salaam, envoi en anglais.;ENVOYE 2026-09-23
Tanzanie;TZ;Dar es Salaam;Dar es Salaam Glass Works;Transformateur verre + aluminium;dsmglass.co.tz;sales@dsmglass.co.tz;;40 ans d'activite. Plus gros fournisseur verre+alu de Tanzanie. Dessert TZ Kenya Rwanda Ouganda. Attention Sapphire Float Glass produit sur place - argumenter Low-E feuillete grands formats miroir;ENVOYE 2026-09-25
Thaïlande;TH;Bangkok (Yan Nawa);Thai-German Specialty Glass Co. Ltd (TGSG);Trempe, feuillete et vitrage isolant, coentreprise thai-allemande depuis 1985;tgsg.co.th;marketing@tgsg.co.th;;Premier transformateur de verre technique de Thailande, trois lignes trempe feuillete isolant. Viser extra-clair, Low-E et grands formats. Port Laem Chabang, envoi en anglais.;ENVOYE 2026-09-24
Trinité-et-Tobago;TT;Barataria;Caribbean Glass Specialists Ltd;Fabrication de fenetres et portes aluminium et verre depuis plus de 55 ans;cgstt.com;glasspec@caribbeanglasstt.com;+1 868 675 7571;Plus ancien fabricant verre-aluminium du pays, 49-55 Eastern Main Road. Port Port of Spain, envoi en anglais.;ENVOYE 2026-09-24
Trinité-et-Tobago;TT;Marabella;Kamri Glass Investments Ltd;Trempe et feuilletage, float, pare-balles, vitrines;kamri.glass;;+1 868 235 4527;SEUL FABRICANT DE TREMPE ET DE FEUILLETE DES CARAIBES. Pas d'adresse publiee, formulaire seulement : appeler. Port Port-of-Spain.;A APPELER
Trinité-et-Tobago;TT;San Juan;Delta Glass Limited;Fabrication de fenetres et portes aluminium et verre;deltawds.com;sales@deltawds.com;+1 868 674 1474;Fabricant verre-aluminium commercial et residentiel. Port Port of Spain. Churchill Roosevelt Highway et Aranguez Main Road, San Juan. Envoi en anglais.;ENVOYE 2026-09-25
Tunisie;TN;Mnihla;Promoverre;Fabrication de verre feuilleté et isolant;promoverre.com;;+216 70 563500;Producteur de vitrages feuilletés et isolants pour marchés tunisien et export. Pas d adresse publiee : appeler. Port Rades.;A APPELER
Tunisie;TN;Tunis (Charguia I);Glasserie Miroiterie et Verrerie de Tunisie;Miroiterie et verrerie;;glamiver@gnet.tn;+216 71 205 366;Sur Tunis, à côté du port de Radès.;ENVOYE 2026-09-22
Tunisie;TN;Tunis, Ibn Khaldoun;SIALA;Transformation industrielle de verre architectural;siala.com.tn;commercial@siala.com.tn;+216 71 922222;Deux unités de production à Ibn Khaldoun et Meghira, cibler verre architectural et Low-E. Port Rades, envoi en francais.;ENVOYE 2026-09-23
Tunisie;TN;Tunis;Aziza Glass;Transformation de verre architectural sur mesure;aziza-glass.com;contact@aziza-glass.com;+216 29 333280;Usine et showroom distincts, cibler float et miroirs. Port Rades, envoi en francais.;ENVOYE 2026-09-23
Uruguay;UY;Montevideo;Gabriel Bia Vidrios;Verre trempe, courbe et feuillete;gabrielbia.com.uy;info@gabrielbia.com.uy;+598 2357 2163;Miroiterie-transformateur de Montevideo, Camino Ariel 4540. Port Montevideo, envoi en espagnol.;ENVOYE 2026-09-24
Vanuatu;VU;Port-Vila;Vanuatu Glass & Aluminium (VGA);Fabrication et fourniture de verre et d aluminium depuis 2004;vgavanuatu.com;jean@vgavanuatu.com;;Leader national du verre et de l aluminium au Vanuatu. Marche insulaire 100 pour cent importateur. Port Port-Vila, envoi en anglais.;ENVOYE 2026-09-24
Venezuela;VE;Maracay (Aragua);CorpoInvetro;Fabrication et pose de verre;corpoinvetro.com;contacto@corpoinvetro.com;+58 243 269 0423;Transformateur-poseur verrier. ATTENTION : verifier paiement et change avant cotation. Port Puerto Cabello, envoi en espagnol.;ENVOYE 2026-09-24
Venezuela;VE;Maracay (Aragua);Distrividrios;Distribution de verre plat et accessoires;distrividrios.com;administracion@distrividrios.com;+58 243 286 4896;administrativo@ a REBONDI le 24/09 (550), seul administracion@ est vivant. ATTENTION : verifier paiement et change avant cotation. Port Puerto Cabello, envoi en espagnol.;ENVOYE 2026-09-24
Vietnam;VN;Ho Chi Minh Ville;Eurowindow HCM;Fabrication et distribution de menuiserie verre et aluminium;eurowindowhcm.com;contact@eurowindowhcm.com;+84 28 3812 9999;Groupe Eurowindow, un des premiers fabricants vietnamiens de fenetres verre alu. Port Cat Lai, envoi en vietnamien.;ENVOYE 2026-09-24
Vietnam;VN;Hô Chi Minh-Ville;E-Fujii Vietnam;Transformation de verre et miroiterie, facades;;sale.efujii@gmail.com;;Envoi en vietnamien — port Cat Lai (HCMV).;ENVOYE 2026-09-23
Vietnam;VN;Hô Chi Minh-Ville;Phu Phong Glass JSC;Verre architectural et float pour mobilier et bâtiment;;;;Marché à float local : viser miroir, Low-E et feuilleté.;
Yémen;YE;Sanaa, Qaa Al Qaydhi;Alawadhi Trading Group;Transformation et distribution de verre et aluminium;alawadhigroup.net;;+967 778 888 597;Usine verrière et réseau à Sanaa, Aden, Mukalla, Hodeïda et Taïz. Pas d adresse publiee : appeler. Port .;A APPELER
Zambie;ZM;Lusaka (Makeni);PG Glass Zambia;Pose et fourniture de vitrage, reseau Lusaka et Ndola;pgglassafrica.com;kkasonde@pgglasszambia.co.zm;+260 211 274 466;Profil poseur plutot qu'importateur conteneur : qualifier avant envoi. Pays enclave, transit via Durban ou Dar es Salaam.;ENVOYE 2026-09-25
Zambie;ZM;Lusaka;Serious Aluminium and Glass;Fabrication et pose alu + verre;;sagzambia1@gmail.com;+260 977 823 292;Mukatasha Road Lusaka. Pays enclave - transit Durban Beira ou Dar es Salaam. Sapphire Float Glass Dar es Salaam livre la zone - argumenter Low-E feuillete miroir grands formats. Mini-mail sur mesure EN;ENVOYE 2026-09-25
Zimbabwe;ZW;Harare (Graniteside);City Glass;Fourniture et distribution de float clair, imprime, teinte, miroirs, feuillete et trempe;cityglass.co.zw;glasssales@cityglass.co.zw;+263 8677 010 538;Se presente comme fournisseur et distributeur de reference au Zimbabwe et dans la region. Stand 16792 Bessemer Rd. Transit par Beira ou Durban. Envoi en anglais.;ENVOYE 2026-09-25
Zimbabwe;ZW;Harare, Waterfalls;Postcorp Glass & Aluminium;Distribution de verre et fabrication aluminium;postcorpglass.co.zw;sales@postcorpglass.co.zw;+263 772 957823;Trois implantations à Harare et Masvingo avec atelier. Transit via Beira. Port via Durban, envoi en anglais.;ENVOYE 2026-09-23
